Stock,R2_FinBERT_FAISS_XGB,R2_LSTM,Difference
SBICARD_NS,0.919315216,0.908844331,0.010470885
INFY_NS,0.909709062,0.900153808,0.009555253
TCS_NS,0.902165837,0.906324421,-0.004158584
RELIANCE_NS,0.883500088,0.902191456,-0.018691368
BPCL_NS,0.879805606,0.695461801,0.184343806
BHARTIARTL_NS,0.87699296,0.797463334,0.079529626
HINDUNILVR_NS,0.873055409,0.822937194,0.050118216
BAJFINANCE_NS,0.872323076,0.843474758,0.028848318
HEROMOTOCO_NS,0.863356856,0.878672195,-0.015315339
NTPC_NS,0.842772608,0.783947081,0.058825528
SBILIFE_NS,0.842044814,0.610352209,0.231692605
SHREECEM_NS,0.838988349,0.852286413,-0.013298063
BAJAJ-AUTO_NS,0.831949154,0.477015963,0.354933191
HDFCBANK_NS,0.827143749,0.29982717,0.527316579
HDFCLIFE_NS,0.819331169,0.829211758,-0.009880589
DIVISLAB_NS,0.815488626,0.669503255,0.145985371
WIPRO_NS,0.814264418,0.789580893,0.024683526
ICICIBANK_NS,0.803081757,0.150979796,0.652101961
HCLTECH_NS,0.788484454,0.818059071,-0.029574616
COALINDIA_NS,0.785857654,0.700995716,0.084861938
KOTAKBANK_NS,0.779903639,0.5463739,0.233529739
SBIN_NS,0.778418412,0.484388301,0.294030111
DRREDDY_NS,0.710093657,0.758761097,-0.048667441
BAJAJFINSV_NS,0.698134727,0.501284847,0.196849881
AXISBANK_NS,0.69598556,0.670366274,0.025619286
ASIANPAINT_NS,0.695314982,0.425554392,0.269760589
BRITANNIA_NS,0.686429513,0.575978992,0.110450521
SUNPHARMA_NS,0.662740162,0.249897973,0.412842189
ONGC_NS,0.660596657,-0.406391532,1.066988189
UPL_NS,0.66023239,0.684382602,-0.024150212
ITC_NS,0.654559706,0.485807537,0.168752169
POWERGRID_NS,0.647997927,0.35903504,0.288962887
TATASTEEL_NS,0.643958707,0.518030668,0.125928039
TECHM_NS,0.639916044,-0.099937415,0.739853459
MARUTI_NS,0.595264026,0.411869633,0.183394393
TATACONSUM_NS,0.576636461,0.304613725,0.272022736
APOLLOHOSP_NS,0.551136134,-0.210585518,0.761721652
LT_NS,0.503099122,-0.490703321,0.993802442
GRASIM_NS,0.482253718,0.302505436,0.179748282
TITAN_NS,0.460126185,0.309011949,0.151114236
EICHERMOT_NS,0.428236071,0.23032295,0.197913121
NESTLEIND_NS,0.399068494,0.409524128,-0.010455634
HINDALCO_NS,0.325463229,0.388046989,-0.062583761
JSWSTEEL_NS,0.314825958,0.385597403,-0.070771445
ULTRACEMCO_NS,0.257665839,0.332333065,-0.074667226
CIPLA_NS,0.24875297,0.411826034,-0.163073064
ADANIENT_NS,0.128386893,0.178184955,-0.049798062
INDUSINDBK_NS,-0.448158346,-0.902518498,0.454360152
AVG=,0.654722285,0.467725921,0.186996364
